Date,CCL,pred_CCL
2017-04-30,155.45,157.3178239508503
2017-04-23,154.57,156.28592093300074
2017-04-16,152.77,156.09196566554448
2017-04-09,152.57,155.62863630612497
2017-04-02,152.18,154.95572044284808
2017-03-26,150.89,154.3368202634614
2017-03-19,150.55,153.8835831371149
2017-03-12,149.38,152.64840590337786
2017-03-05,148.67,151.93521847703624
2017-02-26,148.22,151.14797816052248
2017-02-19,147.74,150.6994474337896
2017-02-12,146.83,150.23542959296145
2017-02-05,146.59,150.0935008306201
2017-01-29,145.89,149.46666801735432
2017-01-22,146.8,148.7754345022962
2017-01-15,144.16,148.2945648950681
2017-01-08,144.28,147.5254710652905
2017-01-01,144.72,147.1538363039909
2016-12-25,146.3,147.1390203417891
2016-12-18,145.44,147.17848803695722
2016-12-11,145.17,146.77843943965246
2016-12-04,144.91,146.11181138977207
2016-11-27,144.47,145.99088584009888
2016-11-20,144.08,145.56068022214077
2016-11-13,143.95,145.5220743075751
2016-11-06,143.49,145.24213576188538
2016-10-30,143.68,145.1864371328516
2016-10-23,144.09,144.77946272131317
2016-10-16,141.53,143.9654117675277
2016-10-09,141.77,143.50310965368027
2016-10-02,141.04,142.59312205864808
2016-09-25,137.62,142.41207585364015
2016-09-18,138.7,141.1677925746082
2016-09-11,136.57,140.5731424765396
2016-09-04,137.5,140.22555783714705
2016-08-28,136.21,139.29053355186596
2016-08-21,133.13,138.67340642407453
2016-08-14,133.41,137.8178781625832
2016-08-07,131.28,136.83374107815496
2016-07-31,131.34,136.1686020707633
2016-07-24,130.47,135.02622693474308
2016-07-17,130.5,134.7579623436099
2016-07-10,129.84,134.30121299332922
2016-07-03,128.85,133.40306266961852
2016-06-26,129.44,133.180767372785
2016-06-19,129.38,132.63049893367207
2016-06-12,129.2,132.11099606836876
2016-06-05,128.75,131.84397436878135
2016-05-29,128.37,131.6327317440203
2016-05-22,128.51,131.17531369568167
2016-05-15,128.41,130.68786073921547
2016-05-08,128.63,129.86942255430807
2016-05-01,128.48,130.19031824673323
2016-04-24,129.87,129.636554192571
2016-04-17,127.96,129.6998440870954
2016-04-10,128.34,128.5374636976694
2016-04-03,127.84,128.67984559041668
2016-03-27,127.46,128.3836661701967
2016-03-20,128.4,127.62930544404642
2016-03-13,127.5,128.39922448048765
2016-03-06,130.3,128.58044933384548
2016-02-28,131.76,128.64194646636076
2016-02-21,130.77,129.1458113441974
2016-02-14,130.58,129.07059200465523
2016-02-07,131.01,129.4808735438695
2016-01-31,131.95,129.44474317784676
2016-01-24,132.9,130.07200864478693
2016-01-17,134.95,130.92608032886977
2016-01-10,134.41,131.00704214219712
2016-01-03,135.83,131.86944274975872
2015-12-27,135.89,131.91144808415646
2015-12-20,136.86,132.42526175368386
2015-12-13,137.3,132.78626695925215
2015-12-06,138.22,133.6656415025422
2015-11-29,139.82,133.71146875928065
2015-11-22,140.27,134.1033051205839
2015-11-15,141.13,135.34116805646573
2015-11-08,142.14,136.03239467300904
2015-11-01,141.76,136.74277507411273
2015-10-25,142.98,137.06357208851028
2015-10-18,144.33,137.87566826985005
2015-10-11,144.61,138.86531480137734
2015-10-04,146.45,138.81265762097155
2015-09-27,146.01,140.14930263875544
2015-09-20,146.67,140.71196812422806
2015-09-13,146.92,141.45100030220732
2015-09-06,146.76,141.8545368609653
2015-08-30,146.78,141.8274814434065
2015-08-23,145.45,142.09007781997428
2015-08-16,144.84,142.4773803688367
2015-08-09,144.29,142.42376172699153
2015-08-02,146.07,142.84488823801598
2015-07-26,145.48,142.49266314448204
2015-07-19,143.32,142.98060615965932
2015-07-12,142.62,142.38419260359257
2015-07-05,143.15,142.60786650884194
2015-06-28,143.56,142.35450862703402
2015-06-21,141.87,142.22499830690674
2015-06-14,142.26,141.71186673763066
2015-06-07,143.31,141.81795487246984
2015-05-31,141.96,141.53895198007933
2015-05-24,140.33,141.32961537142393
2015-05-17,141.3,141.27881887081486
2015-05-10,141.37,140.58875045806315
2015-05-03,141.46,141.01756424131509
2015-04-26,141.22,140.8608994698672
2015-04-19,140.04,140.6367443028201
2015-04-12,141.6,140.69132848876234
2015-04-05,142.36,140.17583594657924
2015-03-29,139.7,139.5015787378273
2015-03-22,140.05,139.92193459051657
2015-03-15,139.03,139.73551030398977
2015-03-08,138.8,139.4419783555898
2015-03-01,137.12,138.88412380363292
2015-02-22,136.2,138.76330713947863
2015-02-15,137.2,138.28121503502382
2015-02-08,136.64,137.64504419034694
2015-02-01,136.35,137.2224470612607
2015-01-25,134.03,136.91670486827024
2015-01-18,134.64,136.44534202909358
2015-01-11,133.64,136.09307862371776
2015-01-04,133.34,135.301434780092
2014-12-28,132.45,135.0130126199316
2014-12-21,132.69,134.8203731095752
2014-12-14,132.81,134.46327811807492
2014-12-07,131.61,133.34091642332032
2014-11-30,130.46,133.21555586641574
2014-11-23,130.16,132.69295943532143
2014-11-16,129.61,132.17823939198985
2014-11-09,129.69,131.97253479230892
2014-11-02,129.4,131.6468796764205
2014-10-26,129.39,131.12895685482624
2014-10-19,129.38,130.79753777956324
2014-10-12,129.83,130.07484562247697
2014-10-05,127.65,129.98420073814134
2014-09-28,128.14,129.20218884136665
2014-09-21,127.46,129.16338997911691
2014-09-14,126.8,128.75812925349402
2014-09-07,126.14,128.41784230108613
2014-08-31,126.94,128.17210335968116
2014-08-24,126.2,127.60090881449571
