,Date,Hibor
0,31 December-2014,0.21000%
1,30 December-2014,0.21000%
2,29 December-2014,0.21000%
3,24 December-2014,0.21000%
4,23 December-2014,0.21000%
5,22 December-2014,0.21000%
6,19 December-2014,0.21000%
7,18 December-2014,0.21000%
8,17 December-2014,0.21000%
9,16 December-2014,0.21000%
10,15 December-2014,0.21000%
11,12 December-2014,0.21000%
12,11 December-2014,0.21000%
13,10 December-2014,0.21000%
14,9 December-2014,0.21000%
15,8 December-2014,0.21000%
16,5 December-2014,0.21000%
17,4 December-2014,0.21000%
18,3 December-2014,0.20000%
19,2 December-2014,0.19000%
20,1 December-2014,0.19000%
21,28 November-2014,0.19000%
22,27 November-2014,0.19000%
23,26 November-2014,0.19000%
24,25 November-2014,0.19000%
25,24 November-2014,0.19000%
26,21 November-2014,0.19000%
27,20 November-2014,0.19000%
28,19 November-2014,0.19000%
29,18 November-2014,0.19000%
30,17 November-2014,0.19000%
31,14 November-2014,0.19000%
32,13 November-2014,0.19000%
33,12 November-2014,0.19000%
34,11 November-2014,0.19000%
35,10 November-2014,0.19000%
36,7 November-2014,0.19000%
37,6 November-2014,0.19000%
38,5 November-2014,0.19000%
39,4 November-2014,0.19000%
40,3 November-2014,0.19000%
41,31 October-2014,0.19000%
42,30 October-2014,0.19000%
43,29 October-2014,0.19000%
44,28 October-2014,0.19000%
45,27 October-2014,0.19000%
46,24 October-2014,0.19000%
47,23 October-2014,0.19000%
48,22 October-2014,0.19000%
49,21 October-2014,0.19000%
50,20 October-2014,0.19000%
51,17 October-2014,0.19000%
52,16 October-2014,0.19000%
53,15 October-2014,0.19000%
54,14 October-2014,0.19000%
55,13 October-2014,0.19000%
56,10 October-2014,0.19000%
57,9 October-2014,0.19000%
58,8 October-2014,0.19000%
59,7 October-2014,0.19000%
60,6 October-2014,0.19000%
61,3 October-2014,0.19000%
62,30 September-2014,0.19000%
63,29 September-2014,0.19000%
64,26 September-2014,0.19000%
65,25 September-2014,0.19000%
66,24 September-2014,0.19000%
67,23 September-2014,0.19000%
68,22 September-2014,0.19000%
69,19 September-2014,0.19000%
70,18 September-2014,0.19000%
71,17 September-2014,0.19000%
72,16 September-2014,0.19000%
73,15 September-2014,0.19000%
74,12 September-2014,0.19000%
75,11 September-2014,0.19000%
76,10 September-2014,0.19000%
77,8 September-2014,0.19000%
78,5 September-2014,0.19000%
79,4 September-2014,0.19000%
80,3 September-2014,0.19000%
81,2 September-2014,0.19000%
82,1 September-2014,0.19000%
83,29 August-2014,0.19000%
84,28 August-2014,0.19000%
85,27 August-2014,0.19000%
86,26 August-2014,0.19000%
87,25 August-2014,0.19000%
88,22 August-2014,0.19000%
89,21 August-2014,0.19000%
90,20 August-2014,0.19000%
91,19 August-2014,0.19000%
92,18 August-2014,0.19000%
93,15 August-2014,0.19000%
94,14 August-2014,0.20000%
95,13 August-2014,0.20000%
96,12 August-2014,0.20000%
97,11 August-2014,0.20000%
98,8 August-2014,0.20000%
99,7 August-2014,0.20000%
100,6 August-2014,0.20000%
101,5 August-2014,0.20000%
102,4 August-2014,0.20000%
103,1 August-2014,0.20000%
104,31 July-2014,0.20000%
105,30 July-2014,0.20000%
106,29 July-2014,0.20000%
107,28 July-2014,0.20000%
108,25 July-2014,0.20000%
109,24 July-2014,0.20000%
110,23 July-2014,0.20000%
111,22 July-2014,0.20000%
112,21 July-2014,0.20000%
113,18 July-2014,0.20000%
114,17 July-2014,0.20000%
115,16 July-2014,0.20000%
116,15 July-2014,0.20000%
117,14 July-2014,0.20000%
118,11 July-2014,0.20000%
119,10 July-2014,0.20000%
120,9 July-2014,0.20000%
121,8 July-2014,0.20000%
122,7 July-2014,0.20000%
123,4 July-2014,0.20000%
