"Date","Price","Open","High","Low","Change %"
"Apr 25, 2017","1.451","1.413","1.451","1.413","2.69%"
"Apr 24, 2017","1.413","1.374","1.413","1.374","1.22%"
"Apr 23, 2017","1.396","1.396","1.396","1.396","0.00%"
"Apr 22, 2017","1.396","1.396","1.396","1.396","0.00%"
"Apr 21, 2017","1.396","1.396","1.396","1.396","0.00%"
"Apr 20, 2017","1.396","1.407","1.407","1.396","-0.78%"
"Apr 19, 2017","1.407","1.418","1.418","1.407","-2.70%"
"Apr 18, 2017","1.446","1.438","1.446","1.438","1.33%"
"Apr 17, 2017","1.427","1.427","1.427","1.427","0.00%"
"Apr 13, 2017","1.427","1.490","1.490","1.427","-4.23%"
"Apr 12, 2017","1.490","1.490","1.490","1.475","-3.25%"
"Apr 11, 2017","1.540","1.545","1.545","1.540","-2.35%"
"Apr 10, 2017","1.577","1.606","1.606","1.577","2.07%"
"Apr 09, 2017","1.545","1.545","1.545","1.545","0.00%"
"Apr 07, 2017","1.545","1.561","1.561","1.545","-2.40%"
"Apr 06, 2017","1.583","1.572","1.583","1.572","-1.62%"
"Apr 05, 2017","1.609","1.673","1.673","1.606","-3.83%"
"Apr 04, 2017","1.673","1.673","1.673","1.673","0.00%"
"Apr 03, 2017","1.673","1.650","1.673","1.650","3.46%"
"Apr 02, 2017","1.617","1.617","1.617","1.617","0.00%"
"Mar 31, 2017","1.617","1.617","1.617","1.617","0.00%"
"Mar 30, 2017","1.617","1.617","1.617","1.617","-1.34%"
"Mar 29, 2017","1.639","1.689","1.695","1.639","-1.38%"
"Mar 28, 2017","1.662","1.663","1.663","1.662","1.96%"
"Mar 27, 2017","1.630","1.700","1.700","1.622","-4.12%"
"Mar 26, 2017","1.700","1.700","1.700","1.700","0.00%"
"Mar 24, 2017","1.700","1.667","1.700","1.667","2.04%"
"Mar 23, 2017","1.666","1.666","1.666","1.666","0.00%"
"Mar 22, 2017","1.666","1.675","1.675","1.666","-4.36%"
"Mar 21, 2017","1.742","1.778","1.778","1.739","-3.81%"
"Mar 20, 2017","1.811","1.807","1.811","1.807","-2.79%"
"Mar 19, 2017","1.863","1.863","1.863","1.863","0.00%"
"Mar 18, 2017","1.863","1.863","1.863","1.863","0.00%"
"Mar 17, 2017","1.863","1.875","1.875","1.863","1.25%"
"Mar 16, 2017","1.840","1.852","1.852","1.840","-5.30%"
"Mar 15, 2017","1.943","1.943","1.943","1.943","-0.26%"
"Mar 14, 2017","1.948","1.946","1.952","1.946","1.88%"
"Mar 13, 2017","1.912","1.946","1.946","1.912","-2.15%"
"Mar 12, 2017","1.954","1.954","1.954","1.954","0.00%"
"Mar 10, 2017","1.954","1.931","1.954","1.931","1.66%"
