Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,4.067480,4.067480,3.990370,4.028930,1.660272,5562989
2000-01-05,3.932540,3.971100,3.836160,3.913260,1.612606,21389544
2000-01-06,3.932540,3.990370,3.855430,3.893990,1.604664,25214089
2000-01-07,3.932540,4.086760,3.932540,4.086760,1.684103,25078590
2000-01-10,4.125310,4.163870,4.086760,4.125310,1.699989,17917703
2000-01-11,4.125310,4.202420,3.951820,4.009650,1.652327,12611250
2000-01-12,3.971100,3.990370,3.913260,3.951820,1.628496,21779941
2000-01-13,3.951820,3.990370,3.913260,3.932540,1.620551,13149208
2000-01-14,4.009650,4.125310,3.951820,4.067480,1.676158,25620231
2000-01-17,4.086760,4.106040,3.971100,4.028930,1.660272,10233933
2000-01-18,4.009650,4.028930,3.951820,4.009650,1.652327,11792697
2000-01-19,3.971100,3.990370,3.913260,3.913260,1.612606,21683098
2000-01-20,3.913260,3.990370,3.913260,3.971100,1.636441,13211087
2000-01-21,3.951820,3.951820,3.932540,3.932540,1.620551,12353824
2000-01-24,3.971100,3.971100,3.893990,3.913260,1.612606,15823502
2000-01-25,3.855430,3.913260,3.855430,3.893990,1.604664,13447175
2000-01-26,3.951820,3.951820,3.893990,3.932540,1.620551,6456170
2000-01-27,3.932540,3.971100,3.893990,3.913260,1.612606,9152246
2000-01-28,3.932540,3.932540,3.874710,3.874710,1.596720,20301853
2000-01-31,3.855430,3.893990,3.836160,3.836160,1.580834,25347895
2000-02-01,3.874710,3.874710,3.816880,3.855430,1.588775,11734540
2000-02-02,3.855430,3.990370,3.855430,3.893990,1.604664,11040356
2000-02-03,3.913260,3.951820,3.855430,3.874710,1.596720,10977660
2000-02-04,3.874710,3.874710,3.874710,3.874710,1.596720,0
2000-02-07,3.874710,3.874710,3.874710,3.874710,1.596720,0
2000-02-08,3.874710,3.874710,3.739770,3.778320,1.556999,15488188
2000-02-09,3.739770,3.816880,3.720490,3.759050,1.549058,20045687
2000-02-10,3.759050,3.797600,3.739770,3.797600,1.564944,12845299
2000-02-11,3.778320,3.778320,3.624110,3.701220,1.525226,19975326
2000-02-14,3.681940,3.720490,3.354230,3.392780,1.398122,45597920
2000-02-15,3.392780,3.643380,3.392780,3.469890,1.429899,48091834
2000-02-16,3.547000,3.739770,3.508440,3.701220,1.525226,23096758
2000-02-17,3.739770,3.759050,3.643380,3.720490,1.533168,15631181
2000-02-18,3.720490,3.720490,3.547000,3.585550,1.477560,14239008
2000-02-21,3.585550,3.624110,3.547000,3.585550,1.477560,11145742
2000-02-22,3.604830,3.604830,3.508440,3.585550,1.477560,13226074
2000-02-23,3.566280,3.624110,3.566280,3.585550,1.477560,8747134
2000-02-24,3.585550,3.739770,3.566280,3.643380,1.501391,8071081
2000-02-25,3.681940,3.681940,3.566280,3.566280,1.469620,7710771
2000-02-28,3.566280,3.604830,3.412060,3.489170,1.437844,23565289
2000-02-29,3.489170,3.566280,3.469890,3.508440,1.445784,18460531
2000-03-01,3.566280,3.720490,3.547000,3.701220,1.525226,29184484
2000-03-02,3.720490,3.759050,3.585550,3.585550,1.477560,13167595
2000-03-03,3.604830,3.701220,3.547000,3.624110,1.493450,9462810
2000-03-06,3.701220,3.701220,3.624110,3.662660,1.509336,14487201
2000-03-07,3.662660,3.662660,3.566280,3.624110,1.493450,13288438
2000-03-08,3.585550,3.624110,3.547000,3.604830,1.485506,9702827
2000-03-09,3.662660,3.662660,3.585550,3.604830,1.485506,14782024
2000-03-10,3.624110,3.662660,3.604830,3.624110,1.493450,9881975
2000-03-13,3.585550,3.624110,3.566280,3.604830,1.485506,16435794
2000-03-14,3.604830,3.604830,3.547000,3.566280,1.469620,14683376
2000-03-15,3.547000,3.585550,3.508440,3.566280,1.469620,11734457
2000-03-16,3.662660,3.701220,3.585550,3.662660,1.509336,14253281
2000-03-17,3.681940,3.720490,3.624110,3.643380,1.501391,12394642
2000-03-20,3.585550,3.643380,3.547000,3.547000,1.461674,13359558
2000-03-21,3.585550,3.643380,3.547000,3.547000,1.461674,12247709
2000-03-22,3.566280,3.604830,3.547000,3.566280,1.469620,16759936
2000-03-23,3.585550,3.585550,3.547000,3.585550,1.477560,9164776
2000-03-24,3.585550,3.643380,3.585550,3.624110,1.493450,9948665
2000-03-27,3.662660,3.681940,3.604830,3.604830,1.485506,18100261
2000-03-28,3.643380,3.643380,3.604830,3.643380,1.501391,14175736
2000-03-29,3.643380,3.643380,3.604830,3.624110,1.493450,12908880
2000-03-30,3.624110,3.701220,3.624110,3.681940,1.517282,16620665
2000-03-31,3.681940,3.778320,3.681940,3.759050,1.549058,14291786
2000-04-03,3.797600,3.874710,3.759050,3.759050,1.549058,20574118
2000-04-04,4.134950,4.134950,4.134950,4.134950,1.703961,0
